"input_text","target_text"
"Need an ETL developer with Informatica","SQL Server, and data warehousing experience.,Informatica, SQL Server, data warehousing"
"Hiring a business analyst with UML","BRD writing, and stakeholder interviews.,UML, BRD writing, stakeholder interviews"
"We're hiring an electronics engineer with circuit design","PCB layout, and KiCad experience.,circuit design, PCB layout, KiCad"
"Seeking a Unity developer with C#","physics engines, and mobile game deployment.,C#, physics engines, mobile game deployment"
"Looking for a Java developer skilled in Spring Boot","Maven, and REST APIs.,Spring Boot, Maven, REST APIs"
"Hiring a desktop software developer with Electron","C++, and packaging skills.,Electron, C++, packaging"
"We're hiring a system admin with VMware","Active Directory, and backup tools experience.,VMware, Active Directory, backup tools"
"Need a test automation lead with Cypress","Mocha, and test-driven development.,Cypress, Mocha, test-driven development"
"Hiring an NLP engineer with spaCy","Hugging Face Transformers, and token classification.,spaCy, Hugging Face Transformers, token classification"
"We're hiring a technical program manager with Agile","stakeholder alignment, and delivery tracking.,Agile, stakeholder alignment, delivery tracking"
"Looking for a network engineer skilled in BGP","Cisco switches, and subnetting.,BGP, Cisco switches, subnetting"
"Hiring a cloud-native developer experienced in Docker","gRPC, and Kubernetes services.,Docker, gRPC, Kubernetes services"
"Need a SAP consultant with experience in FICO","ABAP, and SAP GUI.,FICO, ABAP, SAP GUI"
"Looking for a Salesforce admin skilled in Apex","Lightning, and CRM workflows.,Apex, Lightning, CRM workflows"
"Hiring a customer support specialist with Zendesk","SLAs, and empathy skills.,Zendesk, SLAs, empathy"
"Seeking a QA lead with experience in test planning","QA automation, and regression testing.,test planning, QA automation, regression testing"
"We're hiring a product manager with roadmapping","backlog grooming, and KPI measurement skills.,roadmapping, backlog grooming, KPI measurement"
"Proficient in Jenkins","Docker, Kubernetes, and CI/CD pipelines.,Jenkins, Docker, Kubernetes, CI/CD"
"Experience working with Python","Flask, SQLAlchemy, and PostgreSQL.,Python, Flask, SQLAlchemy, PostgreSQL"
"Familiar with MongoDB","Node.js, Express, and JWT-based authentication.,MongoDB, Node.js, Express, JWT"
"Strong knowledge of REST APIs","Swagger, and Postman for API testing.,REST APIs, Swagger, Postman"
"Worked extensively with NumPy","Pandas, scikit-learn, and Matplotlib.,NumPy, Pandas, scikit-learn, Matplotlib"
"Hands-on with AWS S3","Lambda, CloudWatch, and SNS.,AWS S3, AWS Lambda, CloudWatch, SNS"
"Skilled in data visualization using Power BI","Excel, and Tableau.,Power BI, Excel, Tableau"
"Built CI pipelines using GitHub Actions","Shell scripts, and Docker.,GitHub Actions, Shell scripts, Docker"
"Good grasp of HTML5","CSS3, Bootstrap, and responsive design.,HTML5, CSS3, Bootstrap, responsive design"
"Experience with OAuth2","SAML, and secure authentication protocols.,OAuth2, SAML, secure authentication"
